ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
HAYWARD COMMUNITY SCHOOL DISTRICT,Wisconsin,WI ,5506270,1-Regular local school district that is NOT a component of a supervisory union,1998,151.57,29967000,21904000,3891000,4172000,27987000
HAYWARD UNIFIED,California,CA ,0616740,1-Regular local school district that is NOT a component of a supervisory union,19069,841.09,372768000,144425000,177942000,50401000,396885000
HAYWOOD,Oklahoma,OK ,4014100,1-Regular local school district that is NOT a component of a supervisory union,116,12.21,1612000,750000,553000,309000,1627000
HAYWOOD COUNTY,Tennessee,TN ,4701770,1-Regular local school district that is NOT a component of a supervisory union,2776,206.52,33497000,7702000,18488000,7307000,33293000
HAYWOOD COUNTY SCHOOLS,North Carolina,NC ,3702040,1-Regular local school district that is NOT a component of a supervisory union,6832,491.04,81843000,19586000,50149000,12108000,80934000
HAZARD INDEPENDENT,Kentucky,KY ,2102670,1-Regular local school district that is NOT a component of a supervisory union,955,68.99,14854000,2201000,9536000,3117000,15978000
HAZEL CREST SD 152-5,Illinois,IL ,1718600,1-Regular local school district that is NOT a component of a supervisory union,897,–,21893000,7044000,12942000,1907000,18274000
HAZEL PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,MI ,2618030,1-Regular local school district that is NOT a component of a supervisory union,2927,206.50,61105000,22761000,30350000,7994000,50196000
HAZELTON-MOFFIT-BRADDOCK 6,North Dakota,ND ,3809130,1-Regular local school district that is NOT a component of a supervisory union,138,14.50,2706000,867000,1514000,325000,2693000
HAZELWOOD,Missouri,MO ,2913830,1-Regular local school district that is NOT a component of a supervisory union,16473,1149.13,243916000,159718000,63254000,20944000,216058000
HAZEN 3,North Dakota,ND ,3800031,1-Regular local school district that is NOT a component of a supervisory union,569,39.76,7785000,2329000,4526000,930000,7781000
HAZEN SCHOOL DISTRICT,Arkansas,AR ,0507530,1-Regular local school district that is NOT a component of a supervisory union,565,49.14,7303000,3010000,3226000,1067000,6646000
HAZEN UNION HIGH SCHOOL DISTRICT #26,Vermont,VT ,5008243,2-Local school district that is a component of a supervisory union,306,30.21,6684000,356000,6250000,78000,7082000
HAZLEHURST CITY SCHOOL DISTRICT,Mississippi,MS ,2801830,1-Regular local school district that is NOT a component of a supervisory union,1453,77.27,16166000,5465000,7216000,3485000,15340000
HAZLET TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,3413680,1-Regular local school district that is NOT a component of a supervisory union,2695,251.90,69245000,44215000,22866000,2164000,65532000
HAZLETON AREA CAREER CENTER,Pennsylvania,PA ,4280570,9-Specialized public school district,1,21.00,–,–,–,–,–
HAZLETON AREA SD,Pennsylvania,PA ,4211700,1-Regular local school district that is NOT a component of a supervisory union,11551,689.00,174175000,72018000,83645000,18512000,165869000
HEALDSBURG UNIFIED,California,CA ,0600044,1-Regular local school district that is NOT a component of a supervisory union,1317,78.60,39283000,32017000,4806000,2460000,43404000
HEALDTON,Oklahoma,OK ,4014130,1-Regular local school district that is NOT a component of a supervisory union,492,33.35,5343000,2109000,2556000,678000,5068000
HEALTH SCIENCES CHARTER SCHOOL,New York,NY ,3601022,7-Independent Charter District,360,27.00,0,0,0,0,5120000
HEALTH SCIENCES HIGH DISTRICT,CALIFORNIA,CA ,0602374,7-Independent Charter District,615,29.00,10937000,4729000,3599000,2609000,10591000
HEALY PUBLIC SCHOOLS,Kansas,KS ,2007080,1-Regular local school district that is NOT a component of a supervisory union,44,8.40,1332000,380000,751000,201000,1361000
HEARD COUNTY,Georgia,GA ,1302790,1-Regular local school district that is NOT a component of a supervisory union,2099,145.50,33010000,13205000,15024000,4781000,39918000
HEARNE ISD,Texas,TX ,4822830,1-Regular local school district that is NOT a component of a supervisory union,721,71.89,18927000,11043000,4799000,3085000,15659000
HEART BUTTE K-12 SCHOOLS,Montana,MT ,3000099,1-Regular local school district that is NOT a component of a supervisory union,177,23.23,7142000,1497000,2135000,3510000,7847000
HEART OF GEORGIA RESA,Georgia,GA ,1300017,4-Regional Education Service Agency (RESA),†,6.00,4856000,1405000,2598000,853000,5086000
HEART OF IL LOW INCIDENCE  HILIA,Illinois,IL ,1700262,9-Specialized public school district,†,†,–,–,–,–,–
HEARTLAND AREA EDUCATION AGENCY,Iowa,IA ,1999011,4-Regional Education Service Agency (RESA),†,19.18,35233000,1943000,6599000,26691000,79916000
HEARTLAND CAREER CENTER,Indiana,IN ,1811930,8-Other education agencies,0,0.00,2441000,2172000,86000,183000,2382000
HEARTLAND CHARTER DISTRICT,CALIFORNIA,CA ,0601590,7-Independent Charter District,4661,159.89,43088000,3154000,38748000,1186000,42325000
HEARTLAND COMMUNITY SCHOOLS,Nebraska,NE ,3100117,1-Regular local school district that is NOT a component of a supervisory union,344,29.06,5397000,3928000,945000,524000,5671000
HEARTLAND REGION,Illinois,IL ,1700285,4-Regional Education Service Agency (RESA),–,–,†,†,†,†,†
HEARTWOOD CHARTER DISTRICT,CALIFORNIA,CA ,0602512,7-Independent Charter District,179,7.30,1393000,510000,853000,30000,1200000
HEATH CITY,Ohio,OH ,3904411,1-Regular local school district that is NOT a component of a supervisory union,1734,96.05,25401000,15668000,7765000,1968000,22702000
HEAVENER,Oklahoma,OK ,4014160,1-Regular local school district that is NOT a component of a supervisory union,859,67.01,11714000,3007000,5899000,2808000,10725000
HEBER ELEMENTARY,California,CA ,0616830,1-Regular local school district that is NOT a component of a supervisory union,1181,54.00,30592000,2759000,21711000,6122000,22454000
HEBER SPRINGS SCHOOL DISTRICT,Arkansas,AR ,0507560,1-Regular local school district that is NOT a component of a supervisory union,1537,126.94,18561000,10622000,4609000,3330000,16031000
HEBER-OVERGAARD UNIFIED DISTRICT (4392),Arizona,AZ ,0400026,1-Regular local school district that is NOT a component of a supervisory union,462,30.60,6381000,3977000,1499000,905000,5813000
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,New York,NY ,3601003,7-Independent Charter District,595,15.95,0,0,0,0,11128000
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL 2,NEW YORK,NY ,3601166,7-Independent Charter District,330,6.50,0,0,0,0,6601000
HEBRON 13,North Dakota,ND ,3809180,1-Regular local school district that is NOT a component of a supervisory union,162,19.00,3255000,1240000,1598000,417000,2931000
HEBRON SCHOOL DISTRICT,Connecticut,CT ,0902010,1-Regular local school district that is NOT a component of a supervisory union,636,60.00,15144000,5630000,8764000,750000,15204000
HECTOR SCHOOL DISTRICT,Arkansas,AR ,0507620,1-Regular local school district that is NOT a component of a supervisory union,623,77.34,7820000,2141000,4314000,1365000,7690000
HEDLEY ISD,Texas,TX ,4822850,1-Regular local school district that is NOT a component of a supervisory union,113,17.35,2423000,784000,1405000,234000,2084000
HEIR FORCE COMMUNITY SCHOOL,Ohio,OH ,3900341,7-Independent Charter District,238,5.00,2806000,66000,2150000,590000,2411000
HELEN Y. DAVIS LEADERSHIP ACADEMY CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500077,7-Independent Charter District,193,19.00,4792000,3589000,725000,478000,3910000
HELENA ELEM,Montana,MT ,3000005,1-Regular local school district that is NOT a component of a supervisory union,5123,342.23,75153000,33071000,28634000,13448000,70842000
HELENA FLATS ELEM,Montana,MT ,3013800,1-Regular local school district that is NOT a component of a supervisory union,223,15.17,2732000,847000,1530000,355000,2672000
HELENA H S,Montana,MT ,3013830,1-Regular local school district that is NOT a component of a supervisory union,2620,182.00,34834000,14778000,16513000,3543000,35632000
HELENA/ W.HELENA SCHOOL DIST.,Arkansas,AR ,0507680,1-Regular local school district that is NOT a component of a supervisory union,1173,106.19,18385000,5538000,9047000,3800000,15862000
HELENDALE ELEMENTARY,California,CA ,0616860,1-Regular local school district that is NOT a component of a supervisory union,1163,53.06,16290000,3023000,11834000,1433000,13874000
HELIX HIGH DISTRICT,CALIFORNIA,CA ,0602211,7-Independent Charter District,2469,100.34,32015000,14003000,14393000,3619000,26800000
HELIX SD 1,Oregon,OR ,4106270,1-Regular local school district that is NOT a component of a supervisory union,162,16.00,3871000,1283000,2387000,201000,2997000
HELLENIC CLASSICAL CHARTER SCHOOL,New York,NY ,3600146,7-Independent Charter District,497,35.00,0,0,0,0,8950000
HELLENIC CLASSICAL CHARTER SCHOOL - STATEN ISLAND,NEW YORK,NY ,3601214,7-Independent Charter District,156,13.00,0,0,0,0,4087000
HELLGATE ELEM,Montana,MT ,3013860,1-Regular local school district that is NOT a component of a supervisory union,1473,99.25,20975000,9769000,8234000,2972000,17997000
HELMVILLE ELEM,Montana,MT ,3013890,1-Regular local school district that is NOT a component of a supervisory union,15,3.00,281000,140000,102000,39000,297000
HEMET UNIFIED,California,CA ,0616920,1-Regular local school district that is NOT a component of a supervisory union,21573,956.34,405372000,103756000,246136000,55480000,367007000
HEMINGFORD PUBLIC SCHOOLS,Nebraska,NE ,3171730,1-Regular local school district that is NOT a component of a supervisory union,396,38.92,7709000,5722000,1569000,418000,7281000
HEMLOCK PUBLIC SCHOOL DISTRICT,Michigan,MI ,2618180,1-Regular local school district that is NOT a component of a supervisory union,1166,61.16,16699000,5523000,9859000,1317000,14298000
HEMPFIELD AREA SD,Pennsylvania,PA ,4211760,1-Regular local school district that is NOT a component of a supervisory union,5333,374.00,99504000,61082000,34726000,3696000,91693000
HEMPFIELD SD,Pennsylvania,PA ,4211790,1-Regular local school district that is NOT a component of a supervisory union,6818,469.96,130986000,91724000,34326000,4936000,122002000
HEMPHILL ISD,Texas,TX ,4822890,1-Regular local school district that is NOT a component of a supervisory union,879,76.00,12025000,5818000,4399000,1808000,13454000
HEMPSTEAD ISD,Texas,TX ,4822920,1-Regular local school district that is NOT a component of a supervisory union,1511,117.47,21751000,9648000,9322000,2781000,19681000
HEMPSTEAD UNION FREE SCHOOL DISTRICT,New York,NY ,3614130,1-Regular local school district that is NOT a component of a supervisory union,6708,359.66,247877000,85199000,154489000,8189000,258532000
HENDERSON COLLEGIATE,North Carolina,NC ,3700319,7-Independent Charter District,1335,88.97,14681000,2316000,9963000,2402000,13227000
HENDERSON COUNTY,Kentucky,KY ,2102710,1-Regular local school district that is NOT a component of a supervisory union,7044,454.90,100741000,26815000,52812000,21114000,100448000
HENDERSON COUNTY,Tennessee,TN ,4701800,1-Regular local school district that is NOT a component of a supervisory union,3955,259.01,43975000,10932000,25686000,7357000,40328000
HENDERSON COUNTY SCHOOLS,North Carolina,NC ,3702100,1-Regular local school district that is NOT a component of a supervisory union,12978,869.03,140462000,33881000,88948000,17633000,137958000
HENDERSON ISD,Texas,TX ,4822970,1-Regular local school district that is NOT a component of a supervisory union,3344,227.24,43039000,20274000,17127000,5638000,36955000
HENDERSON/KNOX/MERCER/WARREN ROE,Illinois,IL ,1700192,8-Other education agencies,–,–,–,–,–,–,–
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,New York,NY ,3614190,1-Regular local school district that is NOT a component of a supervisory union,2218,234.00,83177000,69877000,11215000,2085000,88239000
HENDRICKS PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2713680,1-Regular local school district that is NOT a component of a supervisory union,150,15.12,2689000,836000,1612000,241000,2791000
HENDRY,Florida,FL ,1200780,1-Regular local school district that is NOT a component of a supervisory union,‡,402.00,95266000,17141000,62951000,15174000,89491000
HENNEPIN SCHOOLS,Minnesota,MN ,2700335,7-Independent Charter District,376,60.31,7368000,197000,6419000,752000,7408000
HENNESSEY,Oklahoma,OK ,4014340,1-Regular local school district that is NOT a component of a supervisory union,846,68.30,12927000,5943000,4752000,2232000,12505000
HENNIKER SAU OFFICE,New Hampshire,NH ,3300007,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),†,†,†,†,†,†,†
HENNIKER SCHOOL DISTRICT,New Hampshire,NH ,3303690,2-Local school district that is a component of a supervisory union,383,39.50,8679000,5272000,2736000,671000,9473000
HENNING PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2713860,1-Regular local school district that is NOT a component of a supervisory union,368,31.23,5540000,1224000,3810000,506000,5501000
HENRICO COUNTY PUBLIC SCHOOLS,Virginia,VA ,5101890,1-Regular local school district that is NOT a component of a supervisory union,50191,2938.87,760463000,390420000,314818000,55225000,735065000
HENRIETTA ISD,Texas,TX ,4822980,1-Regular local school district that is NOT a component of a supervisory union,908,77.75,13339000,5127000,6243000,1969000,13090000
HENRY CO. R-I,Missouri,MO ,2932110,1-Regular local school district that is NOT a component of a supervisory union,681,56.26,8960000,3438000,3226000,2296000,7945000
HENRY COUNTY,Alabama,AL ,0101740,1-Regular local school district that is NOT a component of a supervisory union,2472,151.33,31726000,5772000,20893000,5061000,32019000
HENRY COUNTY,Georgia,GA ,1302820,1-Regular local school district that is NOT a component of a supervisory union,42388,2683.40,522913000,267900000,216103000,38910000,489848000
HENRY COUNTY,Tennessee,TN ,4701830,1-Regular local school district that is NOT a component of a supervisory union,3016,209.00,38170000,12970000,19489000,5711000,33348000
HENRY COUNTY,Kentucky,KY ,2102760,1-Regular local school district that is NOT a component of a supervisory union,2032,134.00,27518000,7451000,16153000,3914000,25320000
HENRY COUNTY PUBLIC SCHOOLS,Virginia,VA ,5101920,1-Regular local school district that is NOT a component of a supervisory union,7130,496.04,96393000,22906000,61183000,12304000,90618000
HENRY FORD ACADEMY,Michigan,MI ,2600171,7-Independent Charter District,513,25.95,5729000,75000,4893000,761000,5269000
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Texas,TX ,4801412,7-Independent Charter District,102,6.00,1031000,0,941000,90000,959000
HENRY HUDSON REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,3407050,1-Regular local school district that is NOT a component of a supervisory union,315,38.80,11206000,8446000,2377000,383000,10716000
HENRY JOHNSON CHARTER SCHOOL,New York,NY ,3600946,7-Independent Charter District,375,31.00,0,0,0,0,5592000
HENRY SCHOOL DISTRICT 14-2,South Dakota,SD ,4632340,1-Regular local school district that is NOT a component of a supervisory union,178,17.00,3148000,1339000,1460000,349000,2800000
HENRY-SENACHWINE CUSD 5,Illinois,IL ,1700115,1-Regular local school district that is NOT a component of a supervisory union,517,–,10171000,5587000,3870000,714000,9532000
HENRY-STARK COUNTY SPEC ED DIST,Illinois,IL ,1700322,9-Specialized public school district,†,†,13226000,7745000,5255000,226000,12860000
HENRYETTA,Oklahoma,OK ,4014370,1-Regular local school district that is NOT a component of a supervisory union,1055,71.25,12270000,3107000,6944000,2219000,11420000
HEREFORD ISD,Texas,TX ,4823010,1-Regular local school district that is NOT a component of a supervisory union,3868,289.62,47425000,18339000,21423000,7663000,48106000
HERINGTON,Kansas,KS ,2007110,1-Regular local school district that is NOT a component of a supervisory union,447,35.20,8298000,1307000,6086000,905000,7396000
HERITAGE ACADEMY,Texas,TX ,4800080,7-Independent Charter District,617,46.82,7961000,10000,6937000,1014000,6317000
HERITAGE ACADEMY GATEWAY INC. (92519),ARIZONA,AZ ,0400911,7-Independent Charter District,678,–,6241000,400000,5623000,218000,5459000
HERITAGE ACADEMY INC.,Idaho,ID ,1600159,7-Independent Charter District,165,11.50,2068000,32000,1436000,600000,1923000
HERITAGE ACADEMY INC. (4336),Arizona,AZ ,0400053,7-Independent Charter District,1455,–,13264000,724000,11827000,713000,12622000
